TargetUser,MovieID,Title,PredictedRating
10031,7156,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",5.0000
10031,4658,Santa Sangre (1989),5.0000
10031,1202,Withnail & I (1987),5.0000
10031,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",5.0000
10031,26599,Law of Desire (La Ley del deseo) (1987),5.0000
10031,1190,Tie Me Up! Tie Me Down! (¡Átame!) (1990),5.0000
10031,2932,Days of Heaven (1978),5.0000
10031,3022,"General, The (1927)",5.0000
10031,1176,"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",5.0000
10031,2927,Brief Encounter (1946),5.0000
