TargetUser,MovieID,Title,PredictedRating
10027,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",5.0000
10027,1085,"Old Man and the Sea, The (1958)",5.0000
10027,987,Bliss (1997),5.0000
10027,590,Dances with Wolves (1990),5.0000
10027,848,"Spitfire Grill, The (1996)",5.0000
10027,800,Lone Star (1996),4.3612
10027,260,Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977),4.3366
10027,778,Trainspotting (1996),4.2772
10027,1,Toy Story (1995),4.1613
10027,647,Courage Under Fire (1996),4.0726
