TargetUser,MovieID,Title,PredictedRating
10021,249,Immortal Beloved (1994),5.0000
10021,207,"Walk in the Clouds, A (1995)",5.0000
10021,440,Dave (1993),5.0000
10021,543,So I Married an Axe Murderer (1993),5.0000
10021,36,Dead Man Walking (1995),5.0000
10021,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",5.0000
10021,302,Queen Margot (La Reine Margot) (1994),5.0000
10021,155,Beyond Rangoon (1995),5.0000
10021,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",5.0000
10021,474,In the Line of Fire (1993),5.0000
