TargetUser,MovieID,Title,PredictedRating
10071,1610,"Hunt for Red October, The (1990)",5.0000
10071,3079,Mansfield Park (1999),5.0000
10071,1797,Everest (1998),5.0000
10071,2804,"Christmas Story, A (1983)",5.0000
10071,1289,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),5.0000
10071,1147,When We Were Kings (1996),5.0000
10071,936,Ninotchka (1939),5.0000
10071,745,Wallace & Gromit: A Close Shave (1995),5.0000
10071,2019,Seven Samurai (Shichinin no samurai) (1954),5.0000
10071,2607,Get Real (1998),5.0000
