TargetUser,MovieID,Title,PredictedRating
10082,946,To Be or Not to Be (1942),5.0000
10082,2819,3 Days of the Condor (a.k.a. Three Days of the Condor) (1975),5.0000
10082,1283,High Noon (1952),5.0000
10082,3795,"Five Senses, The (1999)",5.0000
10082,3462,Modern Times (1936),5.0000
10082,178,Love & Human Remains (1993),5.0000
10082,6993,Hannah and Her Sisters (1986),5.0000
10082,3881,Phish: Bittersweet Motel (2000),5.0000
10082,2630,Besieged (a.k.a. L' Assedio) (1998),5.0000
10082,3546,What Ever Happened to Baby Jane? (1962),5.0000
