TargetUser,MovieID,Title,PredictedRating
10046,4263,Days of Wine and Roses (1962),5.0000
10046,6818,Come and See (Idi i smotri) (1985),5.0000
10046,909,"Apartment, The (1960)",5.0000
10046,6985,"Passion of Joan of Arc, The (La Passion de Jeanne d'Arc) (1928)",5.0000
10046,4546,"Vanishing, The (Spoorloos) (1988)",5.0000
10046,2467,"Name of the Rose, The (Der Name der Rose) (1986)",5.0000
10046,3328,Ghost Dog: The Way of the Samurai (1999),5.0000
10046,3262,Twin Peaks: Fire Walk with Me (1992),5.0000
10046,48043,"Fountain, The (2006)",5.0000
10046,4969,And Then There Were None (1945),5.0000
