TargetUser,MovieID,Title,PredictedRating
1008,3307,City Lights (1931),5.0000
1008,6119,"Père Noël est une Ordure, Le (1982)",5.0000
1008,2726,"Killing, The (1956)",5.0000
1008,1255,Bad Taste (1987),5.0000
1008,38061,Kiss Kiss Bang Bang (2005),5.0000
1008,6283,Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),5.0000
1008,26294,My Name Is Nobody (Il Mio nome è Nessuno) (1973),5.0000
1008,4641,Ghost World (2001),5.0000
1008,4002,"Planes, Trains & Automobiles (1987)",5.0000
1008,4378,Sexy Beast (2000),5.0000
