TargetUser,MovieID,Title,PredictedRating
10052,745,Wallace & Gromit: A Close Shave (1995),5.0000
10052,340,"War, The (1994)",5.0000
10052,443,"Endless Summer 2, The (1994)",5.0000
10052,670,"World of Apu, The (Apur Sansar) (1959)",5.0000
10052,747,"Stupids, The (1996)",5.0000
10052,668,Pather Panchali (1955),5.0000
10052,610,Heavy Metal (1981),5.0000
10052,609,Homeward Bound II: Lost in San Francisco (1996),5.0000
10052,756,Carmen Miranda: Bananas Is My Business (1994),5.0000
10052,377,Speed (1994),5.0000
