TargetUser,MovieID,Title,PredictedRating
10028,1437,"Cement Garden, The (1993)",5.0000
10028,495,In the Realm of the Senses (Ai no corrida) (1976),5.0000
10028,1732,"Big Lebowski, The (1998)",5.0000
10028,1111,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),5.0000
10028,1069,"Murder, My Sweet (1944)",5.0000
10028,3022,"General, The (1927)",5.0000
10028,324,"Sum of Us, The (1994)",5.0000
10028,3265,Hard-Boiled (Lat sau san taam) (1992),5.0000
10028,942,Laura (1944),5.0000
10028,1352,Albino Alligator (1996),5.0000
