TargetUser,MovieID,Title,PredictedRating
10062,1112,Palookaville (1996),5.0000
10062,2943,Indochine (1992),5.0000
10062,5333,Bob le Flambeur (1955),5.0000
10062,3086,March of the Wooden Soldiers (a.k.a. Babes in Toyland) (1934),5.0000
10062,6016,City of God (Cidade de Deus) (2002),5.0000
10062,5604,"Man in the White Suit, The (1951)",5.0000
10062,841,Eyes Without a Face (Les Yeux sans visage) (1959),5.0000
10062,4446,Final Fantasy: The Spirits Within (2001),5.0000
10062,136,From the Journals of Jean Seberg (1995),5.0000
10062,5202,My American Uncle (Mon Oncle d'Amérique) (1980),5.0000
