TargetUser,MovieID,Title,PredictedRating
10066,1552,Con Air (1997),5.0000
10066,741,Ghost in the Shell (Kôkaku kidôtai) (1995),5.0000
10066,799,"Frighteners, The (1996)",5.0000
10066,2762,"Sixth Sense, The (1999)",5.0000
10066,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),5.0000
10066,1127,"Abyss, The (1989)",5.0000
10066,534,Shadowlands (1993),5.0000
10066,671,Mystery Science Theater 3000: The Movie (1996),5.0000
10066,105,"Bridges of Madison County, The (1995)",5.0000
10066,171,Jeffrey (1995),5.0000
