TargetUser,MovieID,Title,PredictedRating
10023,4434,"10th Victim, The (La Decima Vittima) (1965)",5.0000
10023,1034,Freeway (1996),5.0000
10023,2426,"Theory of Flight, The (1998)",5.0000
10023,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",5.0000
10023,495,In the Realm of the Senses (Ai no corrida) (1976),5.0000
10023,5404,84 Charing Cross Road (1987),5.0000
10023,456,Fresh (1994),5.0000
10023,6299,Winged Migration (Le Peuple migrateur) (2001),5.0000
10023,3446,Funny Bones (1995),5.0000
10023,5625,Moonlight Mile (2002),5.0000
