TargetUser,MovieID,Title,PredictedRating
10043,904,Rear Window (1954),5.0000
10043,5378,Star Wars: Episode II - Attack of the Clones (2002),5.0000
10043,306,Three Colors: Red (Trois couleurs: Rouge) (1994),5.0000
10043,2598,Pushing Tin (1999),5.0000
10043,2700,"South Park: Bigger, Longer and Uncut (1999)",5.0000
10043,2270,"Century of Cinema, A (1994)",5.0000
10043,2064,Roger & Me (1989),5.0000
10043,903,Vertigo (1958),5.0000
10043,2204,Saboteur (1942),5.0000
10043,3006,"Insider, The (1999)",5.0000
