TargetUser,NeighborUser,Similarity
10010,61263,0.196115
10010,29844,0.172790
10010,27398,0.165576
10010,39556,0.158967
10010,35090,0.157369
10010,54656,0.153815
10010,38124,0.140575
10010,20286,0.138650
10010,25273,0.129165
10010,32205,0.127424
10010,1164,0.124961
10010,7288,0.124147
10010,50150,0.123598
10010,58468,0.123227
10010,6322,0.122365
10010,50023,0.121946
10010,3910,0.121841
10010,36505,0.121553
10010,16229,0.121068
10010,47578,0.120801
10010,22043,0.120291
10010,21996,0.120139
10010,1861,0.119352
10010,67462,0.119042
10010,2186,0.118903
10010,28103,0.117649
10010,46085,0.117115
10010,69845,0.116758
10010,55681,0.116570
10010,11471,0.116102
10010,36789,0.116046
10010,4661,0.116030
10010,46510,0.114868
10010,51888,0.114701
10010,56055,0.114131
10010,21823,0.113901
10010,43702,0.113361
10010,29839,0.113193
10010,61813,0.111755
10010,39280,0.111737
10010,43232,0.111279
10010,61115,0.111007
10010,24724,0.110659
10010,11033,0.109531
10010,53377,0.109370
10010,41394,0.108659
10010,23003,0.107592
10010,66755,0.107397
10010,36149,0.106995
10010,2928,0.106994
