TargetUser,MovieID,Title,PredictedRating
100,4641,Ghost World (2001),5.0000
100,2804,"Christmas Story, A (1983)",5.0000
100,1304,Butch Cassidy and the Sundance Kid (1969),5.0000
100,1093,"Doors, The (1991)",5.0000
100,48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),5.0000
100,6188,Old School (2003),5.0000
100,3955,"Ladies Man, The (2000)",5.0000
100,1203,12 Angry Men (1957),5.0000
100,1295,"Unbearable Lightness of Being, The (1988)",5.0000
100,3529,"Postman Always Rings Twice, The (1981)",5.0000
