TargetUser,MovieID,Title,PredictedRating
10088,720,Wallace & Gromit: The Best of Aardman Animation (1996),5.0000
10088,2169,Dead Man on Campus (1998),5.0000
10088,1593,Picture Perfect (1997),5.0000
10088,3755,"Perfect Storm, The (2000)",5.0000
10088,3341,Born Yesterday (1950),5.0000
10088,1113,"Associate, The (1996)",5.0000
10088,1610,"Hunt for Red October, The (1990)",5.0000
10088,3775,Make Mine Music (1946),5.0000
10088,266,Legends of the Fall (1994),5.0000
10088,3361,Bull Durham (1988),5.0000
