TargetUser,NeighborUser,Similarity
10079,67493,0.279952
10079,19028,0.278802
10079,53683,0.268291
10079,14275,0.264904
10079,13472,0.264317
10079,50126,0.262918
10079,4157,0.262562
10079,10208,0.262208
10079,70693,0.260626
10079,8518,0.257211
10079,21290,0.256070
10079,36004,0.255160
10079,42997,0.252832
10079,31801,0.250853
10079,6582,0.250542
10079,17951,0.249472
10079,32726,0.249098
10079,63789,0.248658
10079,22944,0.248135
10079,70627,0.247842
10079,63967,0.245608
10079,67853,0.244451
10079,67918,0.244102
10079,67794,0.243507
10079,46516,0.243175
10079,16469,0.242658
10079,4818,0.242022
10079,13839,0.240846
10079,57963,0.240638
10079,13166,0.240513
10079,64649,0.240358
10079,27235,0.240341
10079,30897,0.240028
10079,38050,0.239553
10079,58155,0.239424
10079,18361,0.238993
10079,67414,0.238808
10079,1407,0.238374
10079,13583,0.238212
10079,60053,0.238155
10079,15498,0.238080
10079,55070,0.238010
10079,8026,0.237972
10079,6150,0.237802
10079,16909,0.237545
10079,2012,0.237386
10079,25761,0.237274
10079,57203,0.237158
10079,27208,0.236582
10079,56354,0.234900
