TargetUser,MovieID,Title,PredictedRating
10045,1300,My Life as a Dog (Mitt liv som hund) (1985),5.0000
10045,994,Big Night (1996),5.0000
10045,1059,William Shakespeare's Romeo + Juliet (1996),5.0000
10045,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),5.0000
10045,1257,Better Off Dead... (1985),5.0000
10045,211,"Browning Version, The (1994)",5.0000
10045,4037,House of Games (1987),5.0000
10045,3160,Magnolia (1999),5.0000
10045,3089,"Bicycle Thief, The (Ladri di biciclette) (1948)",5.0000
10045,7484,Gimme Shelter (1970),5.0000
