TargetUser,MovieID,Title,PredictedRating
10050,1639,Chasing Amy (1997),5.0000
10050,7458,Troy (2004),5.0000
10050,8645,"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",5.0000
10050,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5.0000
10050,969,"African Queen, The (1951)",5.0000
10050,1094,"Crying Game, The (1992)",5.0000
10050,906,Gaslight (1944),5.0000
10050,994,Big Night (1996),5.0000
10050,4446,Final Fantasy: The Spirits Within (2001),5.0000
10050,1204,Lawrence of Arabia (1962),5.0000
