TargetUser,NeighborUser,Similarity
10026,50410,0.498510
10026,23997,0.456815
10026,50466,0.447007
10026,28739,0.445183
10026,45974,0.433062
10026,3757,0.430767
10026,40198,0.429828
10026,55916,0.428363
10026,2054,0.427614
10026,47789,0.426599
10026,21391,0.424610
10026,15154,0.424264
10026,14621,0.423864
10026,54045,0.421934
10026,33050,0.421347
10026,48227,0.419872
10026,68260,0.418860
10026,53978,0.418547
10026,32704,0.416184
10026,15131,0.414651
10026,45703,0.414493
10026,34155,0.414373
10026,30461,0.414032
10026,70109,0.413769
10026,70288,0.412345
10026,61656,0.411570
10026,67388,0.410930
10026,32353,0.410623
10026,19693,0.409722
10026,6120,0.408533
10026,51271,0.408210
10026,42988,0.408194
10026,63669,0.407570
10026,58227,0.407446
10026,43466,0.407290
10026,9337,0.404758
10026,63439,0.404109
10026,65528,0.403863
10026,13822,0.403832
10026,25974,0.403354
10026,56780,0.403270
10026,3794,0.403252
10026,32150,0.403050
10026,39645,0.402737
10026,55926,0.402595
10026,9162,0.401295
10026,25299,0.401091
10026,54085,0.400991
10026,30780,0.399868
10026,31585,0.399633
