TargetUser,NeighborUser,Similarity
10001,54874,0.432752
10001,1840,0.407485
10001,24624,0.401127
10001,13730,0.393206
10001,65195,0.388659
10001,8392,0.385989
10001,61498,0.382587
10001,34620,0.382446
10001,22251,0.377976
10001,16390,0.376149
10001,31109,0.374754
10001,10078,0.370516
10001,58508,0.368063
10001,17945,0.367962
10001,52499,0.365583
10001,10592,0.362001
10001,44278,0.359627
10001,15770,0.356342
10001,55048,0.348020
10001,3521,0.344671
10001,14152,0.342276
10001,46288,0.342019
10001,54720,0.340586
10001,43069,0.340452
10001,14939,0.340230
10001,33514,0.336331
10001,66696,0.330672
10001,28641,0.330292
10001,71528,0.329277
10001,17762,0.328814
10001,14034,0.328619
10001,21075,0.323532
10001,19820,0.320517
10001,55829,0.319205
10001,54741,0.318724
10001,44871,0.315842
10001,70874,0.315394
10001,2462,0.314195
10001,7226,0.313763
10001,11959,0.313371
10001,67841,0.311102
10001,62043,0.309748
10001,30702,0.308519
10001,17718,0.308213
10001,11752,0.307968
10001,17997,0.307622
10001,8342,0.306616
10001,3458,0.306178
10001,29944,0.306115
10001,66716,0.305554
