TargetUser,MovieID,Title,PredictedRating
10010,2005,"Goonies, The (1985)",5.0000
10010,1948,Tom Jones (1963),5.0000
10010,26422,Hair (1979),5.0000
10010,333,Tommy Boy (1995),5.0000
10010,3556,"Virgin Suicides, The (1999)",5.0000
10010,7396,Scenes From a Marriage (Scener ur ett äktenskap) (1973),5.0000
10010,4090,"Brave Little Toaster, The (1987)",5.0000
10010,2560,Ravenous (1999),5.0000
10010,2058,"Negotiator, The (1998)",5.0000
10010,33451,"Ugly, Dirty and Bad (Brutti sporchi e cattivi) (1976)",5.0000
