TargetUser,MovieID,Title,PredictedRating
10051,2677,Buena Vista Social Club (1999),5.0000
10051,629,Rude (1995),5.0000
10051,771,Life Is Rosy (a.k.a. Life Is Beautiful) (La Vie est belle) (1987),5.0000
10051,40969,First Descent (2005),5.0000
10051,64614,Gran Torino (2008),5.0000
10051,31364,Memories of Murder (Salinui chueok) (2003),5.0000
10051,47830,"Quiet, The (2005)",5.0000
10051,26199,Alice's Restaurant (1969),5.0000
10051,8938,Tarnation (2003),5.0000
10051,27830,"Bobby Jones, Stroke of Genius (2004)",5.0000
