TargetUser,MovieID,Title,PredictedRating
10048,2064,Roger & Me (1989),5.0000
10048,1660,Eve's Bayou (1997),5.0000
10048,3089,"Bicycle Thief, The (Ladri di biciclette) (1948)",5.0000
10048,5952,"Lord of the Rings: The Two Towers, The (2002)",5.0000
10048,1674,Witness (1985),5.0000
10048,2575,"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",5.0000
10048,2020,Dangerous Liaisons (1988),5.0000
10048,1642,Indian Summer (a.k.a. Alive & Kicking) (1996),5.0000
10048,1563,Dream With the Fishes (1997),5.0000
10048,1163,Mina Tannenbaum (1994),5.0000
