TargetUser,MovieID,Title,PredictedRating
10073,38038,Wallace & Gromit: The Curse of the Were-Rabbit (2005),5.0000
10073,549,Thirty-Two Short Films About Glenn Gould (1993),5.0000
10073,4312,Himalaya (Himalaya - l'enfance d'un chef) (1999),5.0000
10073,4235,Amores Perros (Love's a Bitch) (2000),5.0000
10073,3814,Love and Death (1975),5.0000
10073,3947,Get Carter (1971),5.0000
10073,125,Flirting With Disaster (1996),5.0000
10073,1365,Ridicule (1996),5.0000
10073,1963,Take the Money and Run (1969),5.0000
10073,33004,"Hitchhiker's Guide to the Galaxy, The (2005)",5.0000
