TargetUser,MovieID,Title,PredictedRating
10030,3498,Midnight Express (1978),5.0000
10030,3339,Cross of Iron (1977),5.0000
10030,3581,Human Traffic (1999),5.0000
10030,1587,Conan the Barbarian (1982),5.0000
10030,7894,"Duck, You Sucker (a.k.a. Fistful of Dynamite) (Giù la testa) (1971)",5.0000
10030,2915,Risky Business (1983),5.0000
10030,4416,"Day the Earth Caught Fire, The (1961)",5.0000
10030,7387,Dawn of the Dead (1978),5.0000
10030,3593,Battlefield Earth (2000),5.0000
10030,1235,Harold and Maude (1971),5.0000
