TargetUser,MovieID,Title,PredictedRating
10007,4452,Made (2001),5.0000
10007,69,Friday (1995),5.0000
10007,4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),5.0000
10007,1209,Once Upon a Time in the West (C'era una volta il West) (1968),5.0000
10007,1177,Enchanted April (1992),5.0000
10007,121,"Boys of St. Vincent, The (1992)",5.0000
10007,3461,Lord of the Flies (1963),5.0000
10007,4293,Summer Rental (1985),5.0000
10007,3873,Cat Ballou (1965),5.0000
10007,965,"39 Steps, The (1935)",5.0000
