TargetUser,MovieID,Title,PredictedRating
10026,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),5.0000
10026,563,Germinal (1993),5.0000
10026,1356,Star Trek: First Contact (1996),5.0000
10026,778,Trainspotting (1996),5.0000
10026,117,"Young Poisoner's Handbook, The (1995)",5.0000
10026,214,Before the Rain (Pred dozhdot) (1994),5.0000
10026,745,Wallace & Gromit: A Close Shave (1995),5.0000
10026,73,"Misérables, Les (1995)",5.0000
10026,263,Ladybird Ladybird (1994),5.0000
10026,219,"Cure, The (1995)",5.0000
