TargetUser,MovieID,Title,PredictedRating
10016,493,Menace II Society (1993),5.0000
10016,720,Wallace & Gromit: The Best of Aardman Animation (1996),5.0000
10016,1050,Looking for Richard (1996),5.0000
10016,482,Killing Zoe (1994),5.0000
10016,861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),5.0000
10016,247,Heavenly Creatures (1994),5.0000
10016,551,"Nightmare Before Christmas, The (1993)",5.0000
10016,232,Eat Drink Man Woman (Yin shi nan nu) (1994),5.0000
10016,144,"Brothers McMullen, The (1995)",5.0000
10016,471,"Hudsucker Proxy, The (1994)",4.5191
