TargetUser,MovieID,Title,PredictedRating
10018,858,"Godfather, The (1972)",5.0000
10018,5812,Far from Heaven (2002),5.0000
10018,349,Clear and Present Danger (1994),5.0000
10018,5668,White Oleander (2002),5.0000
10018,1178,Paths of Glory (1957),5.0000
10018,260,Star Wars: Episode IV - A New Hope (a.k.a. Star Wars) (1977),5.0000
10018,3104,Midnight Run (1988),5.0000
10018,942,Laura (1944),5.0000
10018,6319,"My Father the Hero (Mon père, ce héros.) (1991)",5.0000
10018,101,Bottle Rocket (1996),5.0000
