TargetUser,MovieID,Title,PredictedRating
10039,1225,Amadeus (1984),5.0000
10039,4979,"Royal Tenenbaums, The (2001)",5.0000
10039,1207,To Kill a Mockingbird (1962),5.0000
10039,1177,Enchanted April (1992),5.0000
10039,1280,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),5.0000
10039,1206,"Clockwork Orange, A (1971)",5.0000
10039,3068,"Verdict, The (1982)",5.0000
10039,425,Blue Sky (1994),5.0000
10039,802,Phenomenon (1996),5.0000
10039,1537,Shall We Dance? (Shall We Dansu?) (1996),5.0000
