TargetUser,MovieID,Title,PredictedRating
10068,7141,My Flesh and Blood (2003),5.0000
10068,48783,Flags of Our Fathers (2006),5.0000
10068,3362,Dog Day Afternoon (1975),5.0000
10068,7034,Show Me Love (Fucking Åmål) (1998),5.0000
10068,1293,Gandhi (1982),5.0000
10068,5903,Equilibrium (2002),5.0000
10068,4105,"Evil Dead, The (1981)",5.0000
10068,3556,"Virgin Suicides, The (1999)",5.0000
10068,3681,For a Few Dollars More (Per qualche dollaro in più) (1965),5.0000
10068,7706,Animal Crackers (1930),5.0000
