TargetUser,MovieID,Title,PredictedRating
10014,6713,Millennium Actress (Sennen joyû) (2001),5.0000
10014,964,Angel and the Badman (1947),5.0000
10014,8580,Into the Woods (1991),5.0000
10014,963,"Inspector General, The (1949)",5.0000
10014,2208,"Lady Vanishes, The (1938)",5.0000
10014,3338,For All Mankind (1989),5.0000
10014,1218,"Killer, The (Die xue shuang xiong) (1989)",5.0000
10014,6299,Winged Migration (Le Peuple migrateur) (2001),5.0000
10014,930,Notorious (1946),5.0000
10014,1449,Waiting for Guffman (1996),5.0000
