TargetUser,NeighborUser,Similarity
10060,34107,0.622719
10060,32083,0.615144
10060,547,0.612500
10060,3648,0.603710
10060,46420,0.602709
10060,67243,0.600605
10060,29737,0.598194
10060,25159,0.597426
10060,68214,0.595825
10060,67483,0.595174
10060,16353,0.591855
10060,9289,0.588461
10060,70019,0.586873
10060,53075,0.586818
10060,5768,0.586576
10060,19017,0.585997
10060,55845,0.581996
10060,17606,0.580639
10060,43951,0.579934
10060,46642,0.577182
10060,28271,0.575362
10060,20679,0.574255
10060,67512,0.571656
10060,2931,0.570532
10060,61369,0.569816
10060,49877,0.569187
10060,11609,0.568300
10060,12702,0.566888
10060,61457,0.566741
10060,58830,0.566399
10060,52942,0.565735
10060,51019,0.565697
10060,18252,0.565084
10060,14976,0.565071
10060,67316,0.564569
10060,25193,0.563033
10060,66668,0.562377
10060,70141,0.562021
10060,3473,0.561951
10060,42125,0.561606
10060,6174,0.559543
10060,35692,0.559353
10060,17314,0.559127
10060,56560,0.558926
10060,55333,0.558177
10060,34538,0.558139
10060,7192,0.557400
10060,505,0.556518
10060,34962,0.556312
10060,27700,0.555153
