TargetUser,MovieID,Title,PredictedRating
10067,7234,"Strada, La (1954)",5.0000
10067,3470,Dersu Uzala (1975),5.0000
10067,2360,"Celebration, The (Festen) (1998)",5.0000
10067,5722,"Goat, The (a.k.a. Knock On Wood) (La Chèvre) (1981)",5.0000
10067,3608,Pee-wee's Big Adventure (1985),5.0000
10067,4297,Pelle the Conqueror (Pelle erobreren) (1987),5.0000
10067,6783,"Rules of the Game, The (La Règle du jeu) (1939)",5.0000
10067,2210,Sabotage (1936),5.0000
10067,4305,Angel Eyes (2001),5.0000
10067,428,"Bronx Tale, A (1993)",5.0000
