TargetUser,MovieID,Title,PredictedRating
10013,5847,Ragtime (1981),5.0000
10013,7723,Good Guys Wear Black (1978),5.0000
10013,6761,Tibet: Cry of the Snow Lion (2002),5.0000
10013,7341,"Chase, The (1966)",5.0000
10013,8716,"Plainsman, The (1937)",5.0000
10013,7419,After Hours (1985),5.0000
10013,7118,Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa) (1987),5.0000
10013,5922,Attila (Attila Flagello di Dio) (1982),5.0000
10013,4824,Grateful Dawg (2000),5.0000
10013,5525,Mostly Martha (Bella Martha) (2001),5.0000
