TargetUser,NeighborUser,Similarity
10063,7267,0.369910
10063,40765,0.339129
10063,31856,0.322040
10063,50030,0.319343
10063,60936,0.317040
10063,29006,0.316718
10063,2964,0.316163
10063,11470,0.313970
10063,6431,0.312336
10063,53181,0.311157
10063,51660,0.310938
10063,4030,0.310456
10063,13098,0.310448
10063,22484,0.309055
10063,44494,0.307924
10063,22907,0.307440
10063,59714,0.304261
10063,59504,0.303590
10063,64194,0.302222
10063,9453,0.301871
10063,6985,0.301474
10063,56293,0.300407
10063,639,0.299710
10063,65960,0.298398
10063,45402,0.297712
10063,51445,0.297238
10063,46996,0.297211
10063,28501,0.296149
10063,42636,0.295761
10063,35531,0.295534
10063,69596,0.295458
10063,31539,0.295445
10063,21184,0.294884
10063,66031,0.294804
10063,53515,0.294686
10063,66262,0.294225
10063,42007,0.294023
10063,49360,0.292997
10063,13970,0.292848
10063,48091,0.292686
10063,53266,0.292441
10063,54104,0.291799
10063,3368,0.291710
10063,6836,0.291701
10063,22030,0.291658
10063,59814,0.291641
10063,12696,0.291165
10063,7646,0.291066
10063,67204,0.290406
10063,39697,0.290061
