TargetUser,MovieID,Title,PredictedRating
10060,249,Immortal Beloved (1994),5.0000
10060,1566,Hercules (1997),5.0000
10060,330,Tales from the Hood (1995),5.0000
10060,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),5.0000
10060,745,Wallace & Gromit: A Close Shave (1995),5.0000
10060,1240,"Terminator, The (1984)",5.0000
10060,1270,Back to the Future (1985),5.0000
10060,1136,Monty Python and the Holy Grail (1975),5.0000
10060,1291,Indiana Jones and the Last Crusade (1989),5.0000
10060,1196,Star Wars: Episode V - The Empire Strikes Back (1980),4.6633
