TargetUser,NeighborUser,Similarity
10014,55840,0.437521
10014,28350,0.417403
10014,15367,0.414401
10014,42558,0.411249
10014,44994,0.408946
10014,44959,0.408849
10014,60564,0.407676
10014,7591,0.406785
10014,40260,0.405207
10014,36758,0.402812
10014,25502,0.400586
10014,18967,0.399601
10014,20153,0.396537
10014,49869,0.396253
10014,40612,0.395361
10014,40512,0.394875
10014,71420,0.394539
10014,29974,0.394042
10014,18901,0.393842
10014,21690,0.393793
10014,69242,0.393785
10014,58714,0.393355
10014,26350,0.393016
10014,8020,0.392399
10014,64500,0.391201
10014,59738,0.390964
10014,8573,0.390910
10014,190,0.390708
10014,28855,0.390561
10014,59624,0.390152
10014,62319,0.390067
10014,51445,0.389877
10014,5012,0.389865
10014,43021,0.389252
10014,28899,0.388128
10014,41888,0.387900
10014,69581,0.387682
10014,3646,0.387649
10014,51948,0.387458
10014,61383,0.386337
10014,46319,0.385684
10014,6443,0.383530
10014,51303,0.383502
10014,14805,0.383044
10014,33396,0.382712
10014,43604,0.382653
10014,40088,0.382559
10014,70560,0.381653
10014,23995,0.381535
10014,49765,0.381424
