TargetUser,MovieID,Title,PredictedRating
10004,741,Ghost in the Shell (Kôkaku kidôtai) (1995),5.0000
10004,1207,To Kill a Mockingbird (1962),5.0000
10004,3457,Waking the Dead (2000),5.0000
10004,1199,Brazil (1985),5.0000
10004,2932,Days of Heaven (1978),5.0000
10004,1132,Manon of the Spring (Manon des sources) (1986),5.0000
10004,1289,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),5.0000
10004,1208,Apocalypse Now (1979),5.0000
10004,893,Mother Night (1996),5.0000
10004,2360,"Celebration, The (Festen) (1998)",5.0000
