TargetUser,MovieID,Title,PredictedRating
10061,949,East of Eden (1955),5.0000
10061,1226,"Quiet Man, The (1952)",5.0000
10061,581,"Celluloid Closet, The (1995)",5.0000
10061,2239,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),5.0000
10061,1942,All the King's Men (1949),5.0000
10061,523,Ruby in Paradise (1993),5.0000
10061,3876,Jerry and Tom (1998),5.0000
10061,3429,Creature Comforts (1989),5.0000
10061,4916,Midway (1976),5.0000
10061,2970,Fitzcarraldo (1982),5.0000
