TargetUser,MovieID,Title,PredictedRating
10005,3181,Titus (1999),5.0000
10005,2024,"Rapture, The (1991)",5.0000
10005,5368,Ballad of a Soldier (Ballada o soldate) (1959),5.0000
10005,1633,Ulee's Gold (1997),5.0000
10005,3134,"Grand Illusion (Grande illusion, La) (1937)",5.0000
10005,735,Cemetery Man (Dellamorte Dellamore) (1994),5.0000
10005,1913,Picnic at Hanging Rock (1975),5.0000
10005,905,It Happened One Night (1934),5.0000
10005,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),5.0000
10005,6270,Dreams (Yume) (1990),5.0000
