UserID,TagCount
54650,18
25965,1
28199,2
39050,11
68447,4
21052,9
29061,5
45190,174
51615,2
62815,30
69489,26
2000,1
19714,5
40916,25
43056,23
25323,2
31523,2
32570,1
37899,1
61836,9
2514,26
5223,2
13257,1
17854,1
18921,3
46116,2
58895,11
68570,2
35057,7
64633,706
33579,10
68007,1
36063,21
56347,1
67856,26
68383,3
68901,5
9415,9
50721,3
58561,2
17260,5
21011,17
25723,1
37225,6
56811,2
175,2
21488,5
27350,4
29616,3
32031,1
39302,2
46333,1
68230,5
127,26
18114,3
59299,3
25408,2
37216,132
59677,1
62373,3
11511,4
21466,3
31381,2
35814,2
41622,4
43527,10
46655,2
50949,6
26855,1
41838,689
61120,1
69646,3
442,5
7885,19
35721,2
41201,3
66745,2
1728,1
12100,2
12227,2
28496,1
57127,145
64264,3
65298,9
70485,25
6625,8
9029,1
17561,2
19885,437
69301,5
71195,7
5475,2
24205,6
3313,3
12888,9
33784,190
34295,4
59349,1
31098,2
53988,2
57637,1
2039,2
43994,2
50533,1
51021,1
64712,1
30886,2
37148,4
70974,1297
11809,3
12917,1
13230,4
24592,16
30785,11
31789,1
50670,2
52427,3
20348,1
36969,1
56354,29
29801,3
54376,1
20,12
18304,1
18730,1
21272,35
26987,2
38502,2
53065,1
70350,6
682,1
2687,1
16206,2
21693,1
27297,3
35703,3
42144,1
1547,1
10608,1
54262,5
57374,1
9370,4
30049,2
39156,1
54348,8
69200,5
7287,45
14280,1
29668,12
30547,1
33139,14
51168,2
57696,1
39594,1
46033,6
49383,7
52364,2
16983,1
34329,11
47221,6
56016,1
59214,3
9077,3
15087,29
52722,1
65914,43
10003,57
17464,1
18660,3
19928,11
46081,1
51027,73
16591,2
35419,1
69796,7
70511,2
13167,1
36495,1
58019,1
59327,2
16108,1
18979,6
30515,2
31156,1
31221,1
37061,1
59401,113
60693,6
8434,4
49151,1
71291,26
14048,1
70664,7
4198,1
15821,3
19532,1
71301,27
7685,1
51649,19
69318,1
9946,5
26617,5
42676,1
28731,2
41640,11
47800,1
48117,1
69140,5
31146,2
47104,1
33797,3
34374,1
36292,3
1024,59
11577,34
33074,9
38664,6
49329,1
57245,7
22462,1
42888,3
52448,3
2175,3
16592,1
26920,19
41249,5
17653,18
34196,3
39126,2
48252,5
55699,147
