UserID,MovieID,Rating
1,329,5.0
1,362,5.0
1,364,5.0
1,370,5.0
1,377,5.0
1,420,5.0
1,466,5.0
1,480,5.0
1,520,5.0
1,539,5.0
1,586,5.0
1,292,5.0
1,589,5.0
1,594,5.0
1,588,5.0
2,110,5.0
2,151,3.0
2,260,5.0
2,376,3.0
2,539,3.0
2,590,5.0
2,648,2.0
2,719,3.0
1,616,5.0
2,733,3.0
2,736,3.0
2,780,3.0
2,786,3.0
2,802,2.0
2,858,2.0
2,1073,3.0
2,1210,4.0
2,1356,3.0
2,1391,3.0
2,1049,3.0
2,1544,3.0
3,110,4.5
3,151,4.5
3,590,3.5
3,1148,4.0
3,1246,4.0
3,1252,4.0
3,213,5.0
3,1288,3.0
3,1276,3.5
3,1408,3.5
3,1552,2.0
3,1597,4.5
3,1674,4.5
3,3408,4.0
3,3684,4.5
3,4535,4.0
3,4677,4.0
3,4995,4.5
3,5299,3.0
3,1564,4.5
3,5527,4.5
3,5952,3.5
1,355,5.0
3,6287,3.0
3,5505,2.0
3,6539,5.0
3,6377,4.0
3,7153,4.0
3,8529,4.0
3,7155,3.5
3,27821,4.5
3,33750,3.5
4,21,3.0
4,34,5.0
4,39,3.0
4,110,5.0
3,8533,4.5
4,150,5.0
4,153,5.0
4,161,5.0
4,165,5.0
4,208,3.0
4,231,1.0
4,253,3.0
4,266,5.0
4,292,3.0
4,316,5.0
4,317,5.0
4,329,5.0
4,344,2.0
4,349,3.0
4,367,3.0
4,377,3.0
4,380,3.0
4,410,5.0
4,420,3.0
4,364,5.0
4,432,3.0
4,434,3.0
4,440,3.0
4,480,5.0
4,500,5.0
4,586,5.0
4,587,5.0
4,588,5.0
4,589,5.0
4,590,5.0
4,592,5.0
4,435,3.0
4,597,3.0
5,1,1.0
5,7,3.0
5,25,3.0
5,28,3.0
5,30,5.0
5,32,5.0
5,47,5.0
4,595,5.0
5,52,4.0
5,57,3.0
5,58,3.0
5,85,3.0
5,111,4.0
5,141,3.0
5,171,3.0
5,194,3.0
5,230,4.0
5,232,3.0
5,242,3.0
5,235,4.0
5,249,4.0
5,253,3.0
5,299,3.0
5,306,3.0
3,8783,5.0
5,307,4.0
5,321,3.0
5,326,5.0
5,334,5.0
5,345,3.0
5,348,4.0
5,412,5.0
5,446,5.0
5,475,3.0
5,495,5.0
5,477,3.0
5,508,3.0
5,515,3.0
5,527,5.0
5,532,5.0
5,535,3.0
5,538,5.0
5,541,5.0
5,562,5.0
5,592,3.0
5,509,4.0
5,608,5.0
5,648,3.0
5,708,1.0
5,736,1.0
5,593,4.0
5,780,1.0
1,122,5.0
1,316,5.0
1,231,5.0
1,356,5.0
1,185,5.0
6,32,5.0
6,260,5.0
6,349,4.0
6,457,5.0
6,858,5.0
6,1193,5.0
6,1196,5.0
6,1197,5.0
6,1198,4.0
6,1264,4.0
6,1277,5.0
6,1304,5.0
6,1396,4.0
6,1483,3.0
6,1527,4.0
6,1573,3.0
6,1580,4.0
6,1584,5.0
6,1629,4.0
6,1653,5.0
6,1748,4.0
6,2028,4.0
6,2396,5.0
6,2405,3.0
6,2571,5.0
6,2628,4.0
6,3555,3.0
6,3578,5.0
6,3623,3.0
6,3740,3.0
6,3753,4.0
6,3755,4.0
6,3863,3.0
6,3986,1.0
6,3994,5.0
6,3996,5.0
6,4053,2.0
6,4161,3.0
6,4270,1.0
6,4299,4.0
6,4369,2.0
6,4446,3.0
7,32,4.0
7,50,4.0
7,101,4.5
7,260,3.0
7,541,2.0
7,593,3.0
7,599,5.0
7,608,5.0
7,800,4.0
7,899,5.0
7,903,5.0
7,904,5.0
7,908,5.0
7,912,5.0
7,913,5.0
7,920,5.0
7,923,5.0
7,930,5.0
7,942,4.0
7,951,4.5
7,954,3.5
7,1086,4.0
7,1148,4.5
7,1196,4.0
7,1207,4.0
7,1210,3.0
7,1212,5.0
7,1219,5.0
7,1234,4.0
7,1240,3.0
7,1244,4.5
7,1245,4.5
7,1248,5.0
7,1252,5.0
7,1254,5.0
7,1256,4.5
7,1260,5.0
7,1266,4.0
7,1270,4.0
7,1276,4.5
7,1283,4.5
7,1284,5.0
7,1288,4.0
7,1304,4.0
7,1333,4.0
7,1344,4.0
7,1348,4.0
7,1517,4.0
7,1387,5.0
7,1590,3.0
8,5,3.0
8,2,2.5
8,6,4.0
8,16,3.0
8,19,3.5
8,22,2.5
8,31,3.5
8,32,4.0
8,34,3.0
8,36,3.5
8,39,2.5
8,47,4.0
8,50,5.0
8,66,2.5
8,70,5.0
8,93,3.0
8,104,4.0
8,141,3.5
8,153,3.5
8,158,3.0
8,160,3.0
8,163,4.0
8,164,2.5
8,170,3.5
8,172,3.5
8,165,4.5
8,173,3.0
8,180,3.0
8,196,3.0
8,208,2.5
8,215,4.0
8,216,4.0
8,223,3.0
8,231,3.0
8,240,4.0
8,256,2.5
8,145,4.0
8,288,4.5
8,292,3.5
8,260,3.5
8,303,3.5
8,315,2.5
8,316,4.5
8,324,3.5
8,328,5.0
8,330,2.5
8,338,4.0
8,293,3.0
8,344,3.5
8,345,1.5
9,104,2.0
9,1288,5.0
9,1380,2.5
9,1500,5.0
9,1653,4.5
9,920,2.5
9,2502,5.0
9,2710,0.5
9,2640,4.0
9,2797,3.0
9,3429,5.0
9,2858,5.0
9,3897,2.0
9,4226,5.0
9,4034,4.5
9,7361,5.0
9,26131,4.0
9,38061,5.0
9,44761,5.0
10,4,3.0
10,7,3.0
9,1080,4.0
10,17,4.0
10,21,5.0
10,25,3.0
10,34,4.0
10,36,4.0
10,58,3.0
10,85,4.0
10,62,4.0
10,111,4.0
10,236,4.0
9,2174,4.0
9,50,5.0
9,235,5.0
10,42,4.0
9,1230,3.5
10,306,3.0
10,457,4.0
10,506,3.0
10,509,4.0
10,356,3.0
10,515,4.0
10,527,5.0
10,531,4.0
10,538,3.0
10,541,5.0
10,587,4.0
10,590,4.0
10,593,3.0
10,608,3.0
10,613,4.0
10,597,4.0
10,802,4.0
10,1041,5.0
10,1056,4.0
10,1094,4.0
10,1096,5.0
10,1097,3.0
10,1101,3.0
10,1131,5.0
10,1172,5.0
10,1132,5.0
10,1173,2.0
10,1183,4.0
10,736,2.0
10,1185,3.0
10,265,5.0
10,308,3.0
10,1211,3.0
10,1213,2.0
10,1216,4.0
10,1225,5.0
10,1208,5.0
11,260,5.0
11,296,3.0
11,349,5.0
11,480,4.0
11,539,5.0
11,733,4.0
11,750,4.0
11,440,5.0
11,908,4.0
11,920,5.0
11,858,5.0
11,1028,5.0
11,1077,3.0
11,1081,4.0
11,1196,5.0
11,1198,5.0
11,1097,5.0
11,1219,5.0
11,1240,5.0
11,1258,3.0
11,1210,5.0
11,1277,5.0
11,1291,5.0
11,1333,5.0
11,1374,4.0
11,1270,5.0
11,1375,4.0
11,1376,5.0
11,1387,4.0
11,1544,4.0
11,1552,3.0
11,1580,5.0
11,1617,5.0
11,1610,5.0
11,1732,3.0
11,1909,4.0
11,1917,3.0
11,1947,5.0
11,1690,3.0
11,1997,3.0
11,2011,4.0
11,2028,5.0
11,2091,4.0
11,2160,3.0
